obs_no,study,pub_reference,pub_year,loc_citystate,lat,long,depth_inc,depth_cat,om_pct,clay_pct,texture,BD,AirDry,LL,DUL,SAT,KS,CCL,PAW,NO3ppm,NH4ppm,SW,pH
1,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,0-5,1,2.4,22.4,Clay Loam,1.462,0.075,0.15,0.25,0.319,219.4,0.15,10,4,4,0.275,7.5
2,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,5-10,2,2.2,22.4,Clay Loam,1.47,0.075,0.149,0.245,0.318,202.2,0.149,9.6,3,3,0.275,7
3,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,10-15,3,2,22.4,Clay Loam,1.479,0.074,0.147,0.24,0.316,186.6,0.147,9.3,3,3,0.275,6.7
4,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,15-30,4,1.5,22.5,Clay Loam,1.506,0.145,0.145,0.235,0.312,148.5,0.145,9,3.389,3.389,0.274,6.3
5,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,30-45,5,1.1,22.5,Clay Loam,1.531,0.143,0.143,0.23,0.31,146,0.176,8.7,2.526,2.526,0.269,6.3
6,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,45-60,6,1.1,23.4,Clay Loam,1.543,0.147,0.147,0.235,0.3,133,0.187,8.8,2.546,2.546,0.262,6.7
7,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,60-80,7,0.8,22,Clay Loam,1.56,0.138,0.138,0.23,0.295,150,0.19,9.2,2.496,2.496,0.255,6.9
8,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,80-100,8,0.5,17.2,Clay Loam,1.593,0.107,0.107,0.22,0.29,180,0.169,11.3,2,2,0.221,7.1
9,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,100-120,9,0.35,14.7,Clay Loam,1.608,0.1,0.1,0.21,0.28,160,0.164,11,2,2,0.206,7.9
10,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,120-150,10,0.08,14.7,Clay Loam,1.628,0.09,0.09,0.2,0.27,100,0.169,11,5,5,0.2,8
11,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,150-180,11,0.01,14,Clay Loam,1.634,0.08,0.08,0.19,0.25,11.021,0.174,11,6,6,0.195,8
12,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,180-210,12,0.01,14,Clay Loam,1.634,0.07,0.07,0.18,0.24,9.024,0.174,11,7,7,0.195,8
13,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,210-240,13,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.22,7.388,0.174,11,8,8,0.195,8
14,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,240-270,14,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.21,6.049,0.174,11,9,9,0.195,8
15,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,270-300,15,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.205,4.952,0.174,11,10,10,0.195,8
16,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,300-330,16,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.205,4.055,0.174,11,0,0,0.195,8
17,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,330-360,17,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.205,3.32,0.174,11,0,0,0.195,8
18,1,Randall,1997,"Lamberton, MN",44.239,-96.3189,360-390,18,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.205,2.718,0.174,11,0,0,0.195,8
19,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,0-5,1,3,32,Clay Loam,1.05,0.103,0.206,0.367,0.523,233.6,0.206,16.1,1,1,0.33,7.41
20,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,5-10,2,3,32,Clay Loam,1.05,0.103,0.206,0.367,0.523,233.6,0.206,16.1,1,1,0.33,7.41
21,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,10-15,3,3,32.1,Clay Loam,1.06,0.103,0.206,0.367,0.521,226.8,0.206,16.1,1,1,0.33,7.44
22,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,15-30,4,3,32.4,Clay Loam,1.13,0.207,0.207,0.363,0.51,193.2,0.207,15.6,1,1,0.32,7.59
23,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,30-45,5,2.97,32.7,Clay Loam,1.23,0.207,0.207,0.358,0.494,153.3,0.247,15.1,2.97,2.97,0.31,7.8
24,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,45-60,6,2.21,30.6,Clay Loam,1.28,0.193,0.193,0.342,0.472,139.5,0.245,14.9,2.21,2.21,0.31,7.98
25,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,60-80,7,1.28,27.4,Clay Loam,1.33,0.171,0.171,0.316,0.444,134.3,0.236,14.5,1.28,1.28,0.32,8.17
26,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,80-100,8,0.74,24.1,Clay Loam,1.39,0.15,0.15,0.288,0.422,133,0.225,13.8,0.74,0.74,0.35,8.39
27,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,100-120,9,0.35,21,Clay Loam,1.46,0.13,0.13,0.265,0.404,133,0.215,13.5,0.35,0.35,0.39,8.6
28,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,120-150,10,0.08,17.1,Clay Loam,1.55,0.13,0.13,0.26,0.389,133,0.224,13,0.08,0.08,0.45,8.86
29,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,150-180,11,0.01,15,Clay Loam,1.6,0.13,0.13,0.255,0.385,18.054,0.231,12.5,5,5,0.49,9
30,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,180-210,12,0.01,15,Clay Loam,1.6,0.13,0.13,0.25,0.34,14.781,0.235,12,5,5,0.49,9
31,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,210-240,13,0,15,Clay Loam,1.6,0.13,0.13,0.25,0.31,12.102,0.238,12,5,5,0.49,9
32,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,240-270,14,0,15,Clay Loam,1.6,0.13,0.13,0.25,0.31,9.908,0.238,12,5,5,0.49,9
33,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,270-300,15,0,15,Clay Loam,1.6,0.13,0.13,0.25,0.28,8.112,0.238,12,5,5,0.49,9
34,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,300-330,16,0,15,Clay Loam,1.6,0.13,0.13,0.25,0.28,6.642,0.238,12,0,0,0.49,9
35,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,330-360,17,0,15,Clay Loam,1.6,0.13,0.13,0.25,0.28,5.438,0.238,12,0,0,0.49,9
36,2,Randall.Iragavarapu,1995,Waseca,44.07639,-93.5242,360-390,18,0,15,Clay Loam,1.6,0.13,0.13,0.25,0.28,4.452,0.238,12,0,0,0.25,9
37,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,0-5,1,2.4,22.4,Clay Loam,1.462,0.075,0.15,0.25,0.319,219.4,0.15,10,4,4,0.275,7.5
38,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,5-10,2,2.2,22.4,Clay Loam,1.47,0.075,0.149,0.245,0.318,202.2,0.149,9.6,3,3,0.275,7
39,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,10-15,3,2,22.4,Clay Loam,1.479,0.074,0.147,0.24,0.316,186.6,0.147,9.3,3,3,0.275,6.7
40,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,15-30,4,1.5,22.5,Clay Loam,1.506,0.145,0.145,0.235,0.312,148.5,0.145,9,3.389,3.389,0.274,6.3
41,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,30-45,5,1.1,22.5,Clay Loam,1.531,0.143,0.143,0.23,0.31,146,0.176,8.7,2.526,2.526,0.269,6.3
42,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,45-60,6,1.1,23.4,Clay Loam,1.543,0.147,0.147,0.235,0.3,133,0.187,8.8,2.546,2.546,0.262,6.7
43,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,60-80,7,0.8,22,Clay Loam,1.56,0.138,0.138,0.23,0.295,150,0.19,9.2,2.496,2.496,0.255,6.9
44,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,80-100,8,0.5,17.2,Clay Loam,1.593,0.107,0.107,0.22,0.29,180,0.169,11.3,2,2,0.221,7.1
45,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,100-120,9,0.35,14.7,Clay Loam,1.608,0.1,0.1,0.21,0.28,160,0.164,11,2,2,0.206,7.9
46,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,120-150,10,0.08,14.7,Clay Loam,1.628,0.09,0.09,0.2,0.27,100,0.169,11,5,5,0.2,8
47,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,150-180,11,0.01,14,Clay Loam,1.634,0.08,0.08,0.19,0.25,11.021,0.174,11,6,6,0.195,8
48,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,180-210,12,0.01,14,Clay Loam,1.634,0.07,0.07,0.18,0.24,9.024,0.174,11,7,7,0.195,8
49,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,210-240,13,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.22,7.388,0.174,11,8,8,0.195,8
50,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,240-270,14,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.21,6.049,0.174,11,9,9,0.195,8
51,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,270-300,15,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.205,4.952,0.174,11,10,10,0.195,8
52,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,300-330,16,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.205,4.055,0.174,11,0,0,0.195,8
53,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,330-360,17,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.205,3.32,0.174,11,0,0,0.195,8
54,3,Huggins,2001,"Lamberton, Minnesota",44.239,-95.3189,360-390,18,0,14,Clay Loam,1.635,0.07,0.07,0.18,0.205,2.718,0.174,11,0,0,0.195,8
55,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,0-5,1,2.45,30,Silty Clay Loam,1.25,0.086,0.171,0.28,0.487,216,0.171,10.9,0.8,2.5,0.28,5.48
56,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,5-10,2,2.46,30,Silty Clay Loam,1.25,0.086,0.171,0.28,0.44,216,0.171,10.9,0.8,2,0.28,5.48
57,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,10-15,3,2.17,30,Silty Clay Loam,1.25,0.121,0.151,0.28,0.415,216,0.151,12.9,1.6,2,0.28,5.68
58,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,15-30,4,1.956666667,30,Silty Clay Loam,1.25,0.134333333,0.144333333,0.273333333,0.419,160.6666667,0.144333333,12.9,4.133333333,2.666666667,0.273333333,5.88
59,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,30-45,5,1.35,30,Silty Clay Loam,1.35,0.13,0.13,0.25,0.42,133,0.161,12,1.35,0.13,0.13,1.35
60,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,45-60,6,1.35,30,Silty Clay Loam,1.35,0.13,0.13,0.24,0.413,119,0.169,11,1.35,0.13,0.13,1.35
61,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,60-80,7,0.9375,30,Silty Clay Loam,1.36,0.14,0.14,0.26825,0.438,119,0.19825,12.825,8.3,2.75,0.26825,7.055
62,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,80-100,8,0.39,30,Silty Clay Loam,1.36,0.14,0.14,0.2615,0.438,111,0.206,12.15,7.8,1.5,0.2615,7.97
63,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,100-120,9,0.39,30,Silty Clay Loam,1.4,0.14,0.14,0.24,0.438,103,0.204,10,5.7,0.1,0.24,7.97
64,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,120-150,10,0.39,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.438,89,0.204,13,10.1,0.1,0.438,7.97
65,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,150-180,11,0.2,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.327,58.997,0.215,13,4.2,0.8,0.327,7.97
66,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,180-210,12,0.1,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.315,36.017,0.226,13,3.5,0,0.315,7.97
67,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,210-240,13,0.1,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.304,21.988,0.228,13,2,0,0.304,7.97
68,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,240-270,14,0.01,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.295,13.423,0.228,13,1.7,0,0.295,7.97
69,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,270-300,15,0.01,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.288,8.195,0.228,13,1,0.1,0.288,7.97
70,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,300-330,16,0.01,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.281,5.003,0.228,13,0.8,0,0.281,7.97
71,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,330-360,17,0.01,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.275,3.054,0.228,13,0.4,0,0.275,7.97
72,4,Sutherland,2019,"Sutherland, Iowa",42.9275,-95.5383,360-390,18,0.01,30,Silty Clay Loam,1.4,0.11,0.11,0.24,0.27,1.865,0.228,13,0,0,0.27,7.97
73,5,Lawlor,2008,Gilmore,42.4024,-94.8019,0-5,1,3.39,32,Clay Loam,0.8,0.103,0.207,0.351,0.495,182.137,0.207,14.4,3.72,3.72,0.351,7.8
74,5,Lawlor,2009,Gilmore,42.4024,-94.8019,5-10,2,3,33,Clay Loam,1,0.106,0.211,0.355,0.493,159.848,0.211,14.4,3.5,3.5,0.355,7.82
75,5,Lawlor,2010,Gilmore,42.4024,-94.8019,10-15,3,2.72,34,Clay Loam,1.36,0.108,0.215,0.358,0.491,142.095,0.215,14.3,3.33,3.33,0.358,7.85
76,5,Lawlor,2011,Gilmore,42.4024,-94.8019,15-30,4,2,34,Clay Loam,1.45,0.211,0.211,0.351,0.468,98.079,0.211,14,3,3,0.351,7.9
77,5,Lawlor,2012,Gilmore,42.4024,-94.8019,30-45,5,1.61,34,Clay Loam,1.57,0.21,0.21,0.35,0.463,90.959,0.247,14,3,3,0.35,8.05
78,5,Lawlor,2013,Gilmore,42.4024,-94.8019,45-60,6,1.26,34,Clay Loam,1.57,0.209,0.209,0.348,0.459,83.656,0.258,13.9,3,2,0.348,7.9
79,5,Lawlor,2014,Gilmore,42.4024,-94.8019,60-80,7,0.5,34,Clay Loam,1.57,0.206,0.206,0.343,0.442,60.376,0.267,13.7,3,2,0.343,7.9
80,5,Lawlor,2015,Gilmore,42.4024,-94.8019,80-100,8,0.3,34,Clay Loam,1.57,0.205,0.205,0.342,0.438,56.217,0.28,13.7,3,4,0.342,7.9
81,5,Lawlor,2016,Gilmore,42.4024,-94.8019,100-120,9,0.1,34,Clay Loam,1.57,0.204,0.204,0.341,0.43,52.249,0.29,13.7,3,4,0.341,8.08
82,5,Lawlor,2017,Gilmore,42.4024,-94.8019,120-150,10,0.08,34,Clay Loam,1.57,0.204,0.204,0.341,0.42,51.863,0.303,13.7,3,2,0.341,8.08
83,5,Lawlor,2018,Gilmore,42.4024,-94.8019,150-180,11,0.01,34,Clay Loam,1.57,0.204,0.204,0.34,0.4,16.755,0.314,13.6,3,2,0.34,8.08
84,5,Lawlor,2019,Gilmore,42.4024,-94.8019,180-210,12,0.01,34,Clay Loam,1.57,0.204,0.204,0.34,0.38,13.718,0.323,13.6,3.5,2,0.34,8.08
85,5,Lawlor,2020,Gilmore,42.4024,-94.8019,210-240,13,0,34,Clay Loam,1.57,0.204,0.204,0.34,0.37,11.231,0.328,13.6,0,0,0.34,8.08
86,5,Lawlor,2021,Gilmore,42.4024,-94.8019,240-270,14,0,34,Clay Loam,1.57,0.204,0.204,0.34,0.36,10.507,0.328,13.6,0,0,0.34,8.08
87,5,Lawlor,2022,Gilmore,42.4024,-94.8019,270-300,15,0,34,Clay Loam,1.57,0.204,0.204,0.34,0.36,7.529,0.328,13.6,0,0,0.34,8.08
88,5,Lawlor,2023,Gilmore,42.4024,-94.8019,300-330,16,0,34,Clay Loam,1.57,0.204,0.204,0.34,0.355,6.164,0.328,13.6,0,0,0.34,8.08
89,5,Lawlor,2024,Gilmore,42.4024,-94.8019,330-360,17,0,34,Clay Loam,1.57,0.204,0.204,0.34,0.355,5.047,0.328,13.6,0,0,0.34,8.08
90,5,Lawlor,2025,Gilmore,42.4024,-94.8019,360-390,18,0,34,Clay Loam,1.57,0.204,0.204,0.34,0.355,4.132,0.328,13.6,0,0,0.34,8.08
91,6,Masarik,2014,"Arlington, Wisconsin",43.283,-89.367,0-5,1,2,22.5,Silt Loam,1.341,0.075,0.149,0.348,0.494,302,0.149,19.9,1.5,1.5,0.348,6.7
